--- scanner 0 ---
399,875,-662
753,395,664
680,495,564
594,-277,-533
46,112,-74
-892,420,-821
-591,-687,785
477,-314,-569
-545,-417,-790
549,-387,-545
-447,529,711
-448,685,834
-503,-360,-660
-595,-725,719
-877,498,-821
-528,-591,-682
434,-468,486
557,782,-667
402,781,-788
431,-244,463
747,523,550
-118,2,-15
-915,442,-682
-585,-610,573
-345,578,816
502,-391,531

--- scanner 11 ---
763,-861,526
516,720,-594
697,-681,541
-779,-476,-432
-423,476,623
-609,-487,485
439,-614,-500
-539,505,753
863,450,608
-661,-464,452
-562,-543,515
-39,5,81
-559,547,-878
-397,502,825
481,-673,-374
533,-679,-477
654,800,-641
-735,-553,-503
645,739,-537
-796,-429,-610
-534,338,-826
96,-54,-57
861,339,575
687,-782,446
-530,377,-821
797,307,545

--- scanner 13 ---
-726,-330,-603
-552,710,550
363,702,766
-799,-230,-503
-480,633,-681
630,-771,593
-586,-310,386
-619,-421,384
539,775,-594
-477,409,-704
402,-520,-333
33,96,126
-793,-358,-617
-548,556,-636
-80,176,-5
401,-364,-456
-556,-278,450
545,852,-382
583,-691,731
466,708,714
299,-413,-351
526,-710,602
489,643,808
-457,811,560
549,890,-448
-537,890,484
